Gemeinde;AGS;Mietenstufe
Aach;8335001;2
Aalen;8136088;3
Abstatt;8125001;2
Abtsgmünd;8136002;2
Achberg;8436001;2
Achern;8317001;2
Achstetten;8426001;1
Adelberg;8117001;2
Adelmannsfelden;8136003;2
Adelsheim;8225001;1
Affalterbach;8118001;4
Aglasterhausen;8225002;1
Ahorn;8128138;1
Aichelberg;8117002;2
Aichhalden;8325001;1
Aichstetten;8436003;2
Aichtal;8116081;4
Aichwald;8116076;3
Aidlingen;8115001;4
Aitern;8336004;3
Aitrach;8436004;2
Albbruck;8337002;2
Albershausen;8117003;2
Albstadt;8417079;2
Aldingen;8327002;1
Alfdorf;8119001;2
Allensbach;8335002;2
Alleshausen;8426005;1
Allmannsweiler;8426006;1
Allmendingen;8425002;2
Allmersbach im Tal;8119003;2
Alpirsbach;8237002;1
Altbach;8116004;3
Altdorf;8115002;4
Altdorf;8116005;3
Altenriet;8116006;3
Altensteig;8235006;2
Altheim;8425004;2
Altheim;8426008;1
Altheim;8425005;2
Althengstett;8235007;2
Althütte;8119004;2
Altlußheim;8226003;2
Altshausen;8436005;2
Ammerbuch;8416048;4
Amstetten;8425008;2
Amtzell;8436006;2
Angelbachtal;8226102;2
Appenweier;8317005;2
Argenbühl;8436094;2
Aspach;8119087;2
Asperg;8118003;5
Assamstadt;8128006;1
Asselfingen;8425011;2
Attenweiler;8426011;1
Au;8315003;3
Au am Rhein;8216002;2
Auenwald;8119006;2
Auggen;8315004;3
Aulendorf;8436008;2
Backnang;8119008;4
Bad Bellingen;8336006;3
Bad Boll;8117012;2
Bad Buchau;8426013;1
Bad Ditzenbach;8117006;2
Bad Dürrheim;8326003;3
Bad Friedrichshall;8125005;3
Bad Herrenalb;8235033;2
Bad Krozingen;8315006;5
Bad Liebenzell;8235008;2
Bad Mergentheim;8128007;3
Bad Peterstal-Griesbach;8317008;1
Bad Rappenau;8125006;3
Bad Rippoldsau-Schapbach;8237075;1
Bad Säckingen;8337096;4
Bad Saulgau;8437100;2
Bad Schönborn;8215100;3
Bad Schussenried;8426014;1
Bad Teinach-Zavelstein;8235084;2
Bad Überkingen;8117007;2
Bad Urach;8415078;3
Bad Waldsee;8436009;3
Bad Wildbad;8235079;2
Bad Wimpfen;8125007;2
Bad Wurzach;8436010;1
Baden-Baden;8211000;4
Badenweiler;8315007;3
Bahlingen am Kaiserstuhl;8316002;2
Baienfurt;8436011;2
Baiersbronn;8237004;1
Baindt;8436012;2
Balgheim;8327005;1
Balingen;8417002;3
Ballendorf;8425013;2
Ballrechten-Dottingen;8315008;3
Baltmannsweiler;8116007;3
Balzheim;8425140;2
Bammental;8226006;2
Bärenthal;8327004;1
Bartholomä;8136007;2
Beilstein;8125008;2
Beimerstetten;8425014;2
Bempflingen;8116008;3
Benningen am Neckar;8118006;4
Berg;8436013;2
Bergatreute;8436014;2
Berghaupten;8317009;1
Berghülen;8425017;2
Berglen;8119089;2
Berkheim;8426019;1
Bermatingen;8435005;4
Bernau im Schwarzwald;8337013;2
Bernstadt;8425019;2
Besigheim;8118007;4
Betzenweiler;8426020;1
Beuren;8116011;3
Beuron;8437005;1
Biberach;8317011;1
Biberach an der Riß;8426021;3
Biederbach;8316003;2
Bietigheim;8216005;2
Bietigheim-Bissingen;8118079;5
Billigheim;8225009;1
Binau;8225010;1
Bingen;8437008;1
Binzen;8336008;3
Birenbach;8117009;2
Birkenfeld;8236004;3
Bischweier;8216006;2
Bisingen;8417008;1
Bissingen an der Teck;8116012;3
Bitz;8417010;1
Blaubeuren;8425020;2
Blaufelden;8127008;1
Blaustein;8425141;4
Blumberg;8326005;1
Böbingen an der Rems;8136009;2
Böblingen;8115003;6
Bodelshausen;8416006;4
Bodman-Ludwigshafen;8335098;2
Bodnegg;8436018;2
Böhmenkirch;8117010;2
Böllen;8336010;3
Bollschweil;8315014;3
Boms;8436019;2
Bondorf;8115004;4
Bonndorf im Schwarzwald;8337022;2
Bönnigheim;8118010;4
Bopfingen;8136010;2
Börslingen;8425022;2
Börtlingen;8117011;2
Bösingen;8325009;1
